row_index,true_value,predicted_class,predicted_probability,Unique ID,match_id,event_index,frame_start,frame_end,rec_player_id,rec_team_short,rec_team_id,dist_to_attacking_goal,team_out_of_possession_phase_type,player_targeted_dangerous,event_row_index,source_file,is_drawing,is_middle_third
691,1,1,0.5346657697732092,1899585_1418_1462,1899585.0,1418.0,17894.0,17908.0,51667.0,Auckland FC,4177.0,67.8536307061015,medium_block,1.0,691,1899585.0,1,1
706,0,1,0.8590459629311292,1899585_1481_1517,1899585.0,1481.0,19018.0,19026.0,38673.0,Auckland FC,4177.0,39.57655998188827,chaotic/disruption,0.0,706,1899585.0,0,0
718,0,1,0.7999603086029434,1899585_1628_1645,1899585.0,1628.0,20480.0,20521.0,965685.0,Auckland FC,4177.0,46.694197712349656,medium_block,0.0,718,1899585.0,0,1
722,0,1,0.7278977709350231,1899585_1628_1645,1899585.0,1645.0,20580.0,20580.0,51017.0,Wellington P FC,867.0,60.95824882655341,medium_block,0.0,722,1899585.0,0,1
723,0,1,0.9344150579953633,1899585_1678_1697,1899585.0,1678.0,20719.0,20749.0,4322.0,Auckland FC,4177.0,34.66942456978482,medium_block,0.0,723,1899585.0,0,0
729,0,1,0.8279440353530453,1899585_1924_1956,1899585.0,1924.0,22790.0,22790.0,51667.0,Auckland FC,4177.0,73.230404204811,medium_block,0.0,729,1899585.0,0,0
742,0,1,0.7051846335930418,1899585_1924_1956,1899585.0,1956.0,22923.0,22943.0,23909.0,Wellington P FC,867.0,64.7209432873162,medium_block,0.0,742,1899585.0,0,1
751,0,1,0.6040457470791004,1899585_2194_2247,1899585.0,2194.0,26489.0,26489.0,23909.0,Wellington P FC,867.0,88.3727995482773,chaotic/disruption,0.0,751,1899585.0,0,0
756,0,1,0.8677621632205322,1899585_2194_2247,1899585.0,2202.0,26518.0,26518.0,133498.0,Auckland FC,4177.0,36.39989697787619,chaotic/disruption,0.0,756,1899585.0,0,0
794,0,1,0.9164188921122036,1899585_2422_2470,1899585.0,2422.0,29872.0,29872.0,38673.0,Auckland FC,4177.0,27.504188771894363,low_block,0.0,794,1899585.0,0,0
814,0,1,0.6808711943031786,1899585_2495_2536,1899585.0,2495.0,30240.0,30240.0,51667.0,Auckland FC,4177.0,68.00341241437816,medium_block,0.0,814,1899585.0,0,1
832,1,1,0.9414450211177433,1899585_2600_2642,1899585.0,2600.0,31228.0,31245.0,51017.0,Wellington P FC,867.0,43.10718037635957,transition/quick_break,1.0,832,1899585.0,0,1
849,0,0,0.3819002437262904,1899585_2647_2666,1899585.0,2647.0,31728.0,31737.0,23418.0,Auckland FC,4177.0,80.95041754061558,high_block,0.0,849,1899585.0,0,0
859,1,1,0.9349903286935883,1899585_2745_2771,1899585.0,2745.0,32574.0,32614.0,50951.0,Auckland FC,4177.0,32.8491171875288,medium_block,1.0,859,1899585.0,0,0
866,1,1,0.9223659835059737,1899585_2800_2814,1899585.0,2800.0,34024.0,34052.0,133501.0,Auckland FC,4177.0,23.861234251396134,low_block,1.0,866,1899585.0,0,0
870,1,1,0.7361299566833269,1899585_2800_2814,1899585.0,2814.0,34124.0,34147.0,26969.0,Wellington P FC,867.0,75.38080193258759,low_block,1.0,870,1899585.0,0,0
