error,Unique ID,event_row_index,max_player_targeted_xthreat,player_targeted_dangerous,n_passing_options_dangerous_not_difficult
no_player_id,1886347_3660_3674,352,,,
no_player_id,1886347_4022_4059,353,,,
no_player_id,1886347_4022_4059,354,,,
no_player_id,1886347_4022_4059,355,,,
no_player_id,1886347_4022_4059,356,,,
no_player_id,1886347_4022_4059,357,,,
no_player_id,1886347_4022_4059,358,,,
no_player_id,1886347_4022_4059,359,,,
no_player_id,1886347_4022_4059,360,,,
no_player_id,1886347_4022_4059,361,,,
no_player_id,1886347_4022_4059,362,,,
no_player_id,1886347_4022_4059,363,,,
no_player_id,1886347_4022_4059,364,,,
no_player_id,1886347_4022_4059,365,,,
no_player_id,1886347_4022_4059,366,,,
no_player_id,1886347_4022_4059,367,,,
no_player_id,1886347_4236_4289,368,,,
no_player_id,1886347_4236_4289,369,,,
no_player_id,1886347_4236_4289,370,,,
no_player_id,1886347_4236_4289,371,,,
no_player_id,1886347_4236_4289,372,,,
no_player_id,1886347_4236_4289,373,,,
no_player_id,1886347_4236_4289,374,,,
no_player_id,1886347_4236_4289,375,,,
no_player_id,1886347_4236_4289,376,,,
no_player_id,1886347_4236_4289,377,,,
no_player_id,1886347_4236_4289,378,,,
no_player_id,1886347_4236_4289,379,,,
no_player_id,1886347_4236_4289,380,,,
no_player_id,1886347_4236_4289,381,,,
no_player_id,1886347_4236_4289,382,,,
no_player_id,1886347_4236_4289,383,,,
no_player_id,1886347_4236_4289,384,,,
no_player_id,1886347_4236_4289,385,,,
no_player_id,1886347_4236_4289,386,,,
no_player_id,1886347_4236_4289,387,,,
no_player_id,1886347_4236_4294,388,,,
no_player_id,1886347_4236_4294,389,,,
no_player_id,1886347_4236_4294,390,,,
no_player_id,1886347_4236_4294,391,,,
no_player_id,1886347_4236_4294,392,,,
no_player_id,1886347_4236_4294,393,,,
no_player_id,1886347_4236_4294,394,,,
no_player_id,1886347_4236_4294,395,,,
no_player_id,1886347_4236_4294,396,,,
no_player_id,1886347_4236_4294,397,,,
no_player_id,1886347_4236_4294,398,,,
no_player_id,1886347_4236_4294,399,,,
no_player_id,1886347_4236_4294,400,,,
no_player_id,1886347_4236_4294,401,,,
no_player_id,1886347_4236_4294,402,,,
no_player_id,1886347_4236_4294,403,,,
no_player_id,1886347_4236_4294,404,,,
no_player_id,1886347_4236_4294,405,,,
no_player_id,1886347_4236_4294,406,,,
no_player_id,1886347_4236_4294,407,,,
no_player_id,1886347_4236_4294,408,,,
no_player_id,1886347_4236_4318,409,,,
no_player_id,1886347_4236_4318,410,,,
no_player_id,1886347_4236_4318,411,,,
no_player_id,1886347_4236_4318,412,,,
no_player_id,1886347_4236_4318,413,,,
no_player_id,1886347_4236_4318,414,,,
no_player_id,1886347_4236_4318,415,,,
no_player_id,1886347_4236_4318,416,,,
no_player_id,1886347_4236_4318,417,,,
no_player_id,1886347_4236_4318,418,,,
no_player_id,1886347_4236_4318,419,,,
no_player_id,1886347_4236_4318,420,,,
no_player_id,1886347_4236_4318,421,,,
no_player_id,1886347_4236_4318,422,,,
no_player_id,1886347_4236_4318,423,,,
no_player_id,1886347_4236_4318,424,,,
no_player_id,1886347_4236_4318,425,,,
no_player_id,1886347_4236_4318,426,,,
no_player_id,1886347_4236_4318,427,,,
no_player_id,1886347_4236_4318,428,,,
no_player_id,1886347_4236_4318,429,,,
no_player_id,1886347_4236_4318,430,,,
no_player_id,1886347_4236_4318,431,,,
no_player_id,1886347_4236_4318,432,,,
no_player_id,1886347_4236_4318,433,,,
no_player_id,1886347_4236_4318,434,,,
no_player_id,1886347_4236_4318,435,,,
no_player_id,1886347_4236_4318,436,,,
no_player_id,1886347_4320_4340,437,,,
no_player_id,1886347_4320_4340,438,,,
no_player_id,1886347_4320_4340,439,,,
no_player_id,1886347_4320_4340,440,,,
no_player_id,1886347_4320_4340,441,,,
no_player_id,1886347_4320_4340,442,,,
no_player_id,1886347_4320_4340,443,,,
no_player_id,1886347_4320_4340,444,,,
no_player_id,1886347_4348_4359,445,,,
no_player_id,1886347_4348_4359,446,,,
no_player_id,1886347_4348_4359,447,,,
no_player_id,1886347_4348_4359,448,,,
no_player_id,1886347_4348_4359,449,,,
no_player_id,1886347_4492_4514,450,,,
no_player_id,1886347_4492_4514,451,,,
no_player_id,1886347_4492_4514,452,,,
no_player_id,1886347_4492_4514,453,,,
no_player_id,1886347_4492_4514,454,,,
no_player_id,1886347_4492_4514,455,,,
no_player_id,1886347_4492_4514,456,,,
no_player_id,1886347_4492_4514,457,,,
no_player_id,1886347_4492_4514,458,,,
no_player_id,1886347_4502_4523,459,,,
no_player_id,1886347_4502_4523,460,,,
no_player_id,1886347_4502_4523,461,,,
no_player_id,1886347_4502_4523,462,,,
no_player_id,1886347_4502_4523,463,,,
no_player_id,1886347_4502_4523,464,,,
no_player_id,1886347_4502_4523,465,,,
no_player_id,1886347_4502_4523,466,,,
no_player_id,1886347_4502_4523,467,,,
no_player_id,1886347_4502_4523,468,,,
no_player_id,1886347_4502_4523,469,,,
no_player_id,1886347_4502_4523,470,,,
no_player_id,1886347_4502_4523,471,,,
no_player_id,1886347_4615_4619,472,,,
no_player_id,1886347_4615_4619,473,,,
no_player_id,1886347_4615_4619,474,,,
no_player_id,1886347_4841_4878,475,,,
no_player_id,1886347_4841_4878,476,,,
no_player_id,1886347_4841_4878,477,,,
no_player_id,1886347_4841_4878,478,,,
no_player_id,1886347_4841_4878,479,,,
no_player_id,1886347_4841_4878,480,,,
no_player_id,1886347_4841_4878,481,,,
no_player_id,1886347_4841_4878,482,,,
no_player_id,1886347_4841_4878,483,,,
no_player_id,1886347_4841_4878,484,,,
no_player_id,1886347_4841_4878,485,,,
no_player_id,1886347_4841_4878,486,,,
no_player_id,1886347_4841_4878,487,,,
no_player_id,1886347_4841_4878,488,,,
no_player_id,1886347_4841_4878,489,,,
no_player_id,1886347_4841_4878,490,,,
no_player_id,1886347_4887_4896,491,,,
no_player_id,1886347_4887_4896,492,,,
no_player_id,1886347_4887_4896,493,,,
no_player_id,1886347_4887_4896,494,,,
no_player_id,1886347_4887_4896,495,,,
no_player_id,1886347_4887_4896,496,,,
no_player_id,1886347_4887_4896,497,,,
no_player_id,1886347_4887_4896,498,,,
no_player_id,1886347_4897_4919,499,,,
no_player_id,1886347_4897_4919,500,,,
no_player_id,1886347_4897_4919,501,,,
no_player_id,1886347_4897_4919,502,,,
no_player_id,1886347_4897_4919,503,,,
no_player_id,1886347_4897_4919,504,,,
no_player_id,1899585_175_219,505,,,
no_player_id,1899585_175_219,506,,,
no_player_id,1899585_175_219,507,,,
no_player_id,1899585_175_219,508,,,
no_player_id,1899585_175_219,509,,,
no_player_id,1899585_175_219,510,,,
no_player_id,1899585_175_219,511,,,
