x,y,player_id,is_detected,frame,timestamp,period,possession_player_id,possession_group,ball_x,ball_y,ball_z,is_detected_ball,match_id
-39.9,10.25,133501,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-35.46,-20.01,965685,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-31.04,-14.73,50951,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-40.93,-0.25,38673,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-47.3,-2.23,51009,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-45.61,-7.9,176224,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-47.67,-0.02,51649,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-43.88,-17.41,50983,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-46.71,8.52,735578,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-32.85,-6.93,50978,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-35.55,-17.46,735574,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-11.15,-3.68,795507,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-26.36,-22.55,795505,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-37.82,7.5600000000000005,735573,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-4.39,-11.01,966120,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
28.96,-1.6400000000000001,285188,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-0.8200000000000001,-0.54,51667,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-1.5,-13.14,33697,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-15.69,10.39,51713,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-19.52,-22.47,133498,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-20.11,-3.04,14736,False,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-43.95,-19.97,23418,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-39.9,10.25,133501,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-35.46,-20.01,965685,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-31.04,-14.73,50951,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-40.93,-0.25,38673,True,387,2026-01-03 00:00:37.700,1.0,,home team,-46.38,-1.38,1.65,False,1886347
-31.26,-0.14,51009,False,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
-0.7000000000000001,-11.77,176224,False,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
-1.09,0.5700000000000001,51649,False,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
37.42,-11.36,50983,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
7.4,12.13,735578,False,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
16.5,-4.4,50978,False,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
13.88,7.85,735574,False,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
43.46,0.91,795507,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
39.21,-1.94,795505,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
40.95,8.42,735573,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
48.83,6.28,966120,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
44.65,3.81,285188,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
44.61,1.33,51667,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
45.56,-0.01,33697,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
44.57,6.72,51713,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
45.99,-4.03,133498,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
28.05,-3.38,14736,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
33.43,2.9699999999999998,23418,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
31.96,14.87,133501,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
37.9,-9.83,965685,True,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
4.37,-2.2,50951,False,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
-2.58,-10.39,38673,False,1463,2026-01-03 00:02:25.300,1.0,,home team,45.76,1.8,0.30000000000000004,True,1886347
-28.3,0.63,51009,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
1.6099999999999999,-7.87,176224,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
1.9100000000000001,2.5300000000000002,51649,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
37.73,-3.68,50983,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
14.2,13.53,735578,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
25.24,1.54,50978,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
21.44,14.85,735574,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
48.62,2.23,795507,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
44.27,-6.65,795505,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
42.86,13.54,735573,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
50.75,15.09,966120,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
49.45,3.9699999999999998,285188,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
48.68,3.43,51667,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
46.64,1.71,33697,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
49.48,14.34,51713,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
50.12,-2.77,133498,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
38.08,1.3,14736,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
41.66,4.18,23418,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
42.08,16.2,133501,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
41.2,-3.87,965685,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
14.49,0.38,50951,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
0.27,-7.39,38673,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
-28.3,0.63,51009,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
1.6099999999999999,-7.87,176224,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
1.9100000000000001,2.5300000000000002,51649,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
37.73,-3.68,50983,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
14.2,13.53,735578,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
25.24,1.54,50978,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
21.44,14.85,735574,False,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
48.62,2.23,795507,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
44.27,-6.65,795505,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
42.86,13.54,735573,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
50.75,15.09,966120,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
49.45,3.9699999999999998,285188,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
48.68,3.43,51667,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
46.64,1.71,33697,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
49.48,14.34,51713,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
50.12,-2.77,133498,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
38.08,1.3,14736,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
41.66,4.18,23418,True,1492,2026-01-03 00:02:28.200,1.0,,home team,50.01,15.77,0.12,True,1886347
